,Place of Interest,Place Address,BiciMAD Station,BiciMAD Location,distance
115,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Quintana,Calle Quintana nº 11,18.06249701512068
116,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ferraz,Calle Evaristo San Miguel nº 2,269.468026290042
114,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Pintor Rosales,Paseo del Pintor Rosales frente al nº 38,362.6788293244439
119,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Altamirano,Calle Altamirano nº 24,397.17150914742035
14,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Ventura Rodríguez,Calle Duque de Liria,463.238546240352
125,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Guzmán el Bueno,Calle Guzmán el Bueno nº 1,540.0118109743598
57,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24,552.9821371740678
111,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,660.5451752478737
112,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Arcipreste de Hita B,Calle Arcipreste de Hita nº 12,705.2062211089276
118,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de España B,Calle Princesa nº 5,743.8160820557754
117,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de España A,Calle Princesa nº 5,759.2673098667293
13,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Conde Duque,Calle Conde Duque nº 22,763.0398663562154
201,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Fernando el Católico,Calle Fernando el Católico nº 61,775.4220809490971
110,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Moncloa,Paseo de Moret nº 2,838.7166656364318
126,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo de la Florida,Paseo de la Florida nº 8,873.626517459877
113,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Paseo de Moret,Paseo de Moret nº 11,981.8744808189824
15,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,1109.2318193312612
30,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Quintín,Calle Pavía nº 6,1152.6415652340868
3,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,1187.1371370129852
162,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Fernando el Católico,Calle Fernando el Católico nº 19,1192.677814968636
16,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Bernardo,Calle San Bernardo nº 22,1209.4015871261654
12,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Hermenegildo,Calle San Bernardo nº 85,1237.0465185393878
247,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Galileo,Calle Galileo nº 63,1240.313357419908
154,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Cea Bermúdez,Calle Cea Bermúdez nº 59,1262.2141951699589
22,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Santo Domingo,Plaza de Santo Domingo nº 1,1319.3827777391632
23,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Palacio de Oriente,Calle Carlos III nº 1,1323.4299806837043
246,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Hospital Clínico,Calle Isaac Peral nº 44,1361.3075884852356
36,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza Ramales,Plaza de Ramales,1366.895714025691
59,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de Juan Pujol,Calle Espíritu Santo nº 30,1463.3404453430805
21,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Jacometrezo,Calle Jacometrezo nº 3,1473.7355105154356
2,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Miguel Moya,Calle Miguel Moya nº 1,1506.4137001230404
11,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Andrés,Calle San Andrés nº 18,1528.2822201026556
202,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Quevedo,Glorieta de Quevedo nº 5,1550.8029811783065
169,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Segovia 45,Calle Segovia nº 45,1566.3476190685785
17,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Carlos Cambronero,Plaza de Carlos Cambronero nº 2,1581.5263349797744
205,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,San Francisco de Sales,Calle General Ampudia nº 2,1583.3090559001407
168,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Segovia 26,Calle Segovia nº 26,1608.6373793975883
9,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de San Miguel,Plaza de San Miguel nº 9,1610.260947362199
4,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Malasaña,Calle Manuela Malasaña nº 5,1639.4485783199739
25,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de Celenque B,Plaza de Celenque nº 1,1687.2114058740517
5,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Fuencarral,Calle Fuencarral nº 108,1699.160625987001
35,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza del Cordón,Plaza del Cordón,1701.4146647124944
31,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Calle Mayor,Calle Mayor nº 20,1720.428523911766
24,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de Celenque A,Plaza de Celenque nº 1,1729.4561904827008
55,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza de San Ildefonso,Plaza de San Ildefonso,1746.3060169955784
204,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Parque Santander,Calle Santander esquina con Avenida de Filipinas,1803.4149397252304
213,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Desengaño,Calle Desengaño nº 1,1843.5237691175282
212,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Tres Cruces,Calle Tres Cruces nº 7,1862.4763973853958
56,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Plaza del Carmen ,Plaza del Carmen nº 1,1881.2155614075825
54,Centro de Salud Mental de Moncloa,CALLE DE QUINTANA 11,Barceló,Calle Barceló nº 7,1882.9391103090154
